,categories,id,location,name
46461,"[{'id': '4bf58dd8d48988d121941735', 'name': 'Lounge', 'pluralName': 'Lounges', 'shortName': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}, 'primary': True}]",54393e0d498e0a339387ab55,"{'lat': 51.552243781355166, 'lng': -0.18603891312189394, 'labeledLatLngs': [{'label': 'display', 'lat': 51.552243781355166, 'lng': -0.18603891312189394}], 'distance': 154, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",Casa di Madathea
46467,"[{'id': '4f2a210c4b9023bd5841ed28', 'name': 'Housing Development', 'pluralName': 'Housing Developments', 'shortName': 'Housing Development', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/housingdevelopment_', 'suffix': '.png'}, 'primary': True}]",50259579e4b059c123f02232,"{'lat': 51.552602, 'lng': -0.186498, 'labeledLatLngs': [{'label': 'display', 'lat': 51.552602, 'lng': -0.186498}], 'distance': 173, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",240 Court
46468,"[{'id': '4d954b06a243a5684965b473', 'name': 'Residential Building (Apartment / Condo)', 'pluralName': 'Residential Buildings (Apartments / Condos)', 'shortName': 'Residential', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/apartment_', 'suffix': '.png'}, 'primary': True}]",52bf4bc711d2e7527dc8aa98,"{'address': '220', 'crossStreet': 'Finchly', 'lat': 51.551565, 'lng': -0.184484, 'labeledLatLngs': [{'label': 'display', 'lat': 51.551565, 'lng': -0.184484}], 'distance': 208, 'postalCode': 'NW3 6 DH', 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['220 (Finchly)', 'London', 'Greater London', 'NW3 6 DH', 'United Kingdom']}",🙋miracle home🙆
46469,"[{'id': '4d954b06a243a5684965b473', 'name': 'Residential Building (Apartment / Condo)', 'pluralName': 'Residential Buildings (Apartments / Condos)', 'shortName': 'Residential', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/apartment_', 'suffix': '.png'}, 'primary': True}]",51af5676498e048d82a08dc9,"{'lat': 51.553083, 'lng': -0.1876, 'labeledLatLngs': [{'label': 'display', 'lat': 51.553083, 'lng': -0.1876}], 'distance': 214, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",9 Ashley Court
46584,"[{'id': '4d954b06a243a5684965b473', 'name': 'Residential Building (Apartment / Condo)', 'pluralName': 'Residential Buildings (Apartments / Condos)', 'shortName': 'Residential', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/apartment_', 'suffix': '.png'}, 'primary': True}]",50fa880ae4b0870da45ff3e1,"{'lat': 51.551753, 'lng': -0.182955, 'labeledLatLngs': [{'label': 'display', 'lat': 51.551753, 'lng': -0.182955}], 'distance': 73, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",Cath-Woman
46613,"[{'id': '4bf58dd8d48988d1ef941735', 'name': 'Rental Car Location', 'pluralName': 'Rental Car Locations', 'shortName': 'Rental Car', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/airport_rentalcar_', 'suffix': '.png'}, 'primary': True}]",51802cd1be5219dc8fab2cf3,"{'address': 'Lindfield Gardens Finchley Road', 'lat': 51.5515923315, 'lng': -0.18232584, 'labeledLatLngs': [{'label': 'display', 'lat': 51.5515923315, 'lng': -0.18232584}], 'distance': 48, 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['Lindfield Gardens Finchley Road', 'London', 'Greater London', 'United Kingdom']}",City Car Club Vehicle
46656,"[{'id': '4d954b06a243a5684965b473', 'name': 'Residential Building (Apartment / Condo)', 'pluralName': 'Residential Buildings (Apartments / Condos)', 'shortName': 'Residential', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/apartment_', 'suffix': '.png'}, 'primary': True}]",503247c1e4b0543f9a836114,"{'address': '43 Netherhall Gardens', 'lat': 51.551217, 'lng': -0.179628, 'labeledLatLngs': [{'label': 'display', 'lat': 51.551217, 'lng': -0.179628}], 'distance': 55, 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['43 Netherhall Gardens', 'London', 'Greater London', 'United Kingdom']}",43 Netherhall Gardens
46657,"[{'id': '4bf58dd8d48988d175941735', 'name': 'Gym / Fitness Center', 'pluralName': 'Gyms or Fitness Centers', 'shortName': 'Gym / Fitness', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}, 'primary': True}]",4c817868d34ca143a3e02280,"{'address': 'Frognal', 'lat': 51.552645491960305, 'lng': -0.18050342667395103, 'labeledLatLngs': [{'label': 'display', 'lat': 51.552645491960305, 'lng': -0.18050342667395103}], 'distance': 165, 'postalCode': 'NW3 6XH', 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['Frognal', 'London', 'Greater London', 'NW3 6XH', 'United Kingdom']}",UCS Active
46661,"[{'id': '4d954b06a243a5684965b473', 'name': 'Residential Building (Apartment / Condo)', 'pluralName': 'Residential Buildings (Apartments / Condos)', 'shortName': 'Residential', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/apartment_', 'suffix': '.png'}, 'primary': True}]",4f2b17dce4b0ccfb1c967f08,"{'address': '39 Netherhall Gardens', 'lat': 51.551077, 'lng': -0.179475, 'labeledLatLngs': [{'label': 'display', 'lat': 51.551077, 'lng': -0.179475}], 'distance': 66, 'postalCode': 'NW3 5RL', 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['39 Netherhall Gardens', 'London', 'Greater London', 'NW3 5RL', 'United Kingdom']}",39 Netherhall Gardens
46697,"[{'id': '4bf58dd8d48988d13d941735', 'name': 'High School', 'pluralName': 'High Schools', 'shortName': 'High School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",4be53a8bbcef2d7f139403e5,"{'lat': 51.55300681813767, 'lng': -0.1807906887850958, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55300681813767, 'lng': -0.1807906887850958}], 'distance': 226, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",UCS
