0,1,2
4abf8c03f964a520079120e3,32543554,1367958643
4abf8c03f964a520079120e3,37629194,1348924357
4abf8c03f964a520079120e3,36394392,1366052290
4abf8c03f964a520079120e3,34133159,1377376038
4abf8c03f964a520079120e3,42535257,1384282237
4abf8c03f964a520079120e3,17121028,1382222514
4abf8c03f964a520079120e3,471846,1346928473
4abf8c03f964a520079120e3,15422636,1416218191
4abf8c03f964a520079120e3,13792609,1350919508
4abf8c03f964a520079120e3,20558110,1373834110
4abf8c03f964a520079120e3,27476101,1352238894
4abf8c03f964a520079120e3,28389080,1365705376
4abf8c03f964a520079120e3,32099,1368217947
4abf8c03f964a520079120e3,15067224,1372261142
4abf8c03f964a520079120e3,5599447,1364828967
4abf8c03f964a520079120e3,3934850,1360608007
4abf8c03f964a520079120e3,33279608,1377113112
4abf8c03f964a520079120e3,273809,1362953428
4abf8c03f964a520079120e3,59390976,1382915035
4abf8c03f964a520079120e3,40142768,1354816268
4abf8c03f964a520079120e3,35519185,1376047731
4abf8c03f964a520079120e3,11636241,1383851344
4abf8c03f964a520079120e3,26969873,1379201476
4abf8c03f964a520079120e3,27015485,1418768775
4abf8c03f964a520079120e3,66483210,1379083208
4abf8c03f964a520079120e3,30284921,1372594392
4abf8c03f964a520079120e3,3416434,1430071582
4abf8c03f964a520079120e3,2793655,1383384871
4abf8c03f964a520079120e3,17918112,1372294056
4abf8c03f964a520079120e3,55360721,1377465849
4ac51183f964a52048a020e3,33191239,1347724797
4ac51183f964a52048a020e3,28820467,1341090758
4ac51183f964a52048a020e3,2513690,1366560886
4ac51183f964a52048a020e3,245457,1339950946
4ac51183f964a52048a020e3,7912795,1367926058
4ac51183f964a52048a020e3,38389398,1371125815
4ac51183f964a52048a020e3,44861512,1373972617
4ac51183f964a52048a020e3,27560841,1367791617
4ac51183f964a52048a020e3,7146,1345475890
4ac51183f964a52048a020e3,2146682,1350572425
4ac51183f964a52048a020e3,58739633,1372166435
4ac51183f964a52048a020e3,15692361,1346520446
4ac51183f964a52048a020e3,45008041,1368204776
4ac51183f964a52048a020e3,4735660,1365457211
4ac51183f964a52048a020e3,4589736,1300546360
4ac51183f964a52048a020e3,56848,1365953502
4ac51183f964a52048a020e3,53860472,1367520497
4ac51183f964a52048a020e3,6309542,1345553638
4ac51183f964a52048a020e3,7912795,1367929859
4ac51183f964a52048a020e3,15581149,1397151213
4ac51183f964a52048a020e3,1726257,1344752571
4ac51183f964a52048a020e3,63438,1315652662
4ac51183f964a52048a020e3,24862871,1350566393
4ac51183f964a52048a020e3,56500,1329686851
4ac51183f964a52048a020e3,245457,1339951099
4ac51183f964a52048a020e3,1877615,1373058061
4ac51183f964a52048a020e3,28673143,1346874799
4ac51183f964a52048a020e3,43737296,1365931883
4ac51183f964a52048a020e3,4585081,1358080695
4ac51183f964a52048a020e3,30127337,1351526964
4ac518b4f964a5207ba020e3,682196,1371458965
4ac518b4f964a5207ba020e3,17917010,1363937487
4ac518b4f964a5207ba020e3,583246,1344501718
4ac518b4f964a5207ba020e3,17917010,1364085747
4ac518b4f964a5207ba020e3,17917010,1363880095
4ac518b4f964a5207ba020e3,17917010,1364033422
4ac518b4f964a5207ba020e3,4034690,1354907736
4ac518b4f964a5207ba020e3,22837973,1348764807
4ac518b4f964a5207ba020e3,45953280,1373386380
4ac518b4f964a5207ba020e3,13701551,1336489669
4ac518b4f964a5207ba020e3,10733167,1339688669
4ac518b4f964a5207ba020e3,10210055,1346333212
4ac518b4f964a5207ba020e3,8656572,1340360668
4ac518b4f964a5207ba020e3,5117151,1351333306
4ac518b4f964a5207ba020e3,26851855,1368783064
4ac518b4f964a5207ba020e3,13057271,1417080802
4ac518b4f964a5207ba020e3,39502585,1437812684
4ac518b4f964a5207ba020e3,48633930,1393354545
4ac518b4f964a5207ba020e3,71487182,1386804895
4ac518b4f964a5207ba020e3,57957098,1496920748
4ac518b4f964a5207ba020e3,19585085,1395265815
4ac518b4f964a5207ba020e3,110408882,1494693365
4ac518b4f964a5207ba020e3,24009679,1385233768
4ac518b4f964a5207ba020e3,9413821,1465850650
4ac518b4f964a5207ba020e3,388926060,1487862764
4ac518b4f964a5207ba020e3,29049355,1433526371
4ac518b4f964a5207ba020e3,1152287,1490889716
4ac518b4f964a5207ba020e3,20439455,1398631429
4ac518b4f964a5207ba020e3,20681163,1390608075
4ac518b4f964a5207ba020e3,57957098,1496920781
4ac518b6f964a520e5a020e3,16658121,1340106875
4ac518b6f964a520e5a020e3,15068393,1358000046
4ac518b6f964a520e5a020e3,3062504,1345390760
4ac518b6f964a520e5a020e3,44215252,1362320109
4ac518b6f964a520e5a020e3,17453661,1344172506
4ac518b6f964a520e5a020e3,1797230,1343901258
4ac518b6f964a520e5a020e3,29315303,1378821163
4ac518b6f964a520e5a020e3,1106686,1343813634
4ac518b6f964a520e5a020e3,1247827,1319484077
4ac518b6f964a520e5a020e3,41023934,1370795245
4ac518b6f964a520e5a020e3,27797170,1362171764
4ac518b6f964a520e5a020e3,12891556,1349337427
4ac518b6f964a520e5a020e3,2462255,1360232090
4ac518b6f964a520e5a020e3,38994938,1350375248
4ac518b6f964a520e5a020e3,21012877,1388366091
4ac518b6f964a520e5a020e3,3662843,1353679591
4ac518b6f964a520e5a020e3,2902919,1349039285
4ac518b6f964a520e5a020e3,11710523,1358149393
4ac518b6f964a520e5a020e3,14971626,1342891395
4ac518b6f964a520e5a020e3,6733110,1334827828
4ac518b6f964a520e5a020e3,9831639,1463817363
4ac518b6f964a520e5a020e3,13309952,1376077041
4ac518b6f964a520e5a020e3,35737108,1349281124
4ac518b6f964a520e5a020e3,46793842,1364560487
4ac518b6f964a520e5a020e3,10231088,1339574592
4ac518b6f964a520e5a020e3,542030,1319850412
4ac518b6f964a520e5a020e3,13442856,1324660742
4ac518b6f964a520e5a020e3,24111723,1366904416
4ac518b6f964a520e5a020e3,3203588,1368785577
4ac518b6f964a520e5a020e3,1485762,1360372159
4ac518b7f964a52039a120e3,11708715,1343034696
4ac518b7f964a52039a120e3,11708715,1342984112
4ac518b7f964a52039a120e3,11708715,1342984130
4ac518b7f964a52039a120e3,14037874,1378539331
4ac518b7f964a52039a120e3,14037874,1377451556
4ac518b7f964a52039a120e3,14037874,1377586745
4ac518b9f964a520a9a120e3,12014155,1375902580
4ac518b9f964a520a9a120e3,39411581,1392940218
4ac518b9f964a520a9a120e3,1228888,1380472225
4ac518b9f964a520a9a120e3,95568350,1440152740
4ac518b9f964a520a9a120e3,64767,1410695650
4ac518b9f964a520a9a120e3,17614142,1407363458
4ac518b9f964a520a9a120e3,9371277,1460843569
4ac518b9f964a520a9a120e3,44280279,1406921024
4ac518b9f964a520a9a120e3,142517318,1524317739
4ac518b9f964a520a9a120e3,5055528,1469113212
4ac518b9f964a520a9a120e3,25632307,1428692406
4ac518b9f964a520a9a120e3,44280279,1406916574
4ac518b9f964a520a9a120e3,4000202,1405862280
4ac518b9f964a520a9a120e3,2110085,1373394136
4ac518b9f964a520a9a120e3,8776488,1347194315
4ac518b9f964a520a9a120e3,40494833,1361020874
4ac518b9f964a520a9a120e3,1228888,1380472145
4ac518b9f964a520a9a120e3,66336194,1378832395
4ac518b9f964a520a9a120e3,8776488,1347191976
4ac518b9f964a520a9a120e3,1228888,1380472369
4ac518b9f964a520a9a120e3,814859,1426795555
4ac518b9f964a520a9a120e3,44795563,1356985996
4ac518baf964a52007a220e3,2360278,1347915627
4ac518baf964a52007a220e3,4184520,1345395842
4ac518baf964a52007a220e3,719011,1351878424
4ac518baf964a52007a220e3,9724837,1345299124
4ac518baf964a52007a220e3,18258810,1372182517
4ac518baf964a52007a220e3,2516458,1402078753
4ac518baf964a52007a220e3,22301259,1352657709
4ac518baf964a52007a220e3,14227895,1400607047
4ac518baf964a52007a220e3,6064126,1342377092
4ac518baf964a52007a220e3,392228,1391289915
4ac518baf964a52007a220e3,22301259,1352659050
4ac518baf964a52007a220e3,80214502,1464116093
4ac518baf964a52007a220e3,18644877,1430860791
4ac518baf964a52007a220e3,8244874,1404158331
4ac518baf964a52007a220e3,64522595,1381527438
4ac518baf964a52007a220e3,1896698,1372263041
4ac518baf964a52007a220e3,7205685,1343936768
4ac518baf964a52007a220e3,8244874,1404764355
4ac518baf964a52007a220e3,387264,1354394539
4ac518baf964a52007a220e3,198378,1342293849
4ac518baf964a52007a220e3,8244874,1404158302
4ac518baf964a52007a220e3,88249944,1450110426
4ac518baf964a52007a220e3,19694357,1415653743
4ac518baf964a52007a220e3,74653953,1391202110
4ac518baf964a52007a220e3,8584868,1432405567
4ac518baf964a52007a220e3,83040484,1408290781
4ac518baf964a52007a220e3,20929484,1401312188
4ac518baf964a52007a220e3,1726257,1414243011
4ac518baf964a52007a220e3,70902094,1391203138
4ac518baf964a52007a220e3,10894822,1429995726
4ac518bcf964a52067a220e3,25471504,1344020268
4ac518bcf964a52067a220e3,12937620,1331939439
4ac518bcf964a52067a220e3,19578677,1344175064
4ac518bcf964a52067a220e3,11335838,1381440001
4ac518bcf964a52067a220e3,4908913,1358550004
4ac518bcf964a52067a220e3,740544,1523902502
