sarahjeong
MihaRekar
toptal
RustFest
Triquetrea
alastairmci
amrAbdelwahab
solarisBank
b0rk
esther_gross
apoikos
baschtl
jessfraz
neomizer
ID_AA_Carmack
aral
hosseeb
netizer
OpenAI
BitPesa
sknthla
dhh
hexayurt
bcrypt
drfeifei
AndrewYNg
karpathy
demishassabis
GreatDismal
bengoertzel
francesca_bria
BITS_BCN
martinfowler
antonioschannel
papadopoulos_j
KentBeck
aantonop
rootkovska
nikomatsakis
Snowden
CTZN5
izakaminska
SkroutzDevs
hintjens
yanisvaroufakis
munificentbob
elonmusk
8thLightInc
steveklabnik
leashless
Scrooge_UK
dias_jorge
signalapp
_dhamidi
robrhinehart
mediafinger
tdgs4
ellehyper
alexkapi
banditaras
nemlah
