lawfareblog
benjaminwittes
CREWcrew
NormEisen
funder
tribelaw
RWPUSA
tedlieu
RepAdamSchiff
selectedwisdom
PreetBharara
renato_mariotti
whittall_connie
SethAbramson
SenSchumer
RepJoeKennedy
ABC
NBCNightlyNews
maziehirono
SenatorCollins
SenJohnMcCain
MarkWarner
SenFeinstein
RepTedLieu
ChrisMurphyCT
GeorgeTakei
StephenKing
SenatorShaheen
SenatorHassan
KamalaHarris
SenBlumenthal
SenGillibrand
JoeNBC
ananavarro
RonWyden
