DianaRibaGiner
SwoleOffCrypto
binance
Mhemeroteca
catalan_gov
enpeudepau
AlbanoDante76
JordiGraupera
beatsantiak
Xavier_Artigas
ArnauOK
rstudio
ref1oct
rstudiotips
mossos
FarnellNews
KRLS
xatakaon
rod2cat
rod2sudcat
rodalia2
rodalies
lluis_llach
antoniobanos_
holacatenaria
NurietaRQ
AraBassas
tricentenariBCN
TMBinfo
HiginiaRoig
gendigital
quequicom33
ChinadsJ
CNMCtelecos
AndroidPC_es
gencat
pau
malpas28
TV3alacarta
versiorac1
xatakafoto
gebelque
LaVanguardiaCAT
IngramMicroES
collbato
sninobecerra
JaumeBarbera
jordievole
AgenciaUO
PauEGB
noupia83
inakicarbo
EnDaniel
pablomoralito
pachamama_bcn
mecalbcn
agencia_29
xatakandroid
MariaCarmenClar
xatakaciencia
esAdir
valorafegitTV3
applesfera
ARAciencia
canal_33
muyinteresante
amicsdelesarts
xatakamovil
Sanfermines11
Catala_Correcte
jordiferrer7
PiensaMcFly
bonshoms
pauplans
jordimr
meneame_net
epunset
democraciareal
ARAsocietat
Acampadabcn
30minuts
xataka
Twitpuntcat
Paupauer
elmonarac1
CatalunyaRadio
tr3sc
pcactual
GrupManel
soler_toni
XSalaimartin
jordibaste
elpais_tec
ARAxarxestech
tv3cat
324_economia
antonibassas
Buenafuente
LaTdP
materia_ciencia
Bluenoreen
nikonrumors
swingmaniacs
CERN
eFonik
metromuster
diariARA
Garzu
