ClotDecideix
PepTeam
ramoncotarelo
assemblea
Esquerra_ERC
cupnacional
omnium
jordiborras
JoanQueralt
cristina_pardo
GU_SERoures
fun_roures
LekaconK
Juanmi_News
SusodeToro1
Andaluz_Indepe
Sergi_Bernal
Laura_Crosas
nachoorovio
vmm7773
ivanol79
gambineando
alertatrollcat
MNAnoticies
sergipinkman
CNICatalunya
gallifantes
Berlustinho
eljueves
BeatrizTalegon
protestona1
mSchools_MWC
catalan_gov
FoscaClara
Terewere
paumaso
EsteveTaverna
Mireia_cebria
GemmaJuanola
soler_toni
kantinu
JordiGraupera
XSalaimartin
ercblanes
Tavernaesteve1
Xuxipc
Nuriavima1968
eldiarioes
elconfidencial
elnacionalcat
MonDiari
naciodigital
VilaWeb
elpuntavui
MariaRodgzSoto
pcactual
ErnestoEkaizer
mmartinloeches
Korah_FF
Sr_Dios
diostuitero
norcoreano
gerardotc
BobEstropajo
lavecinarubia
iescolar
PiedrahitaLuis
ana_morgade
maitepastor_
maldiniplus
XxEtruscoxX
claudiasole10
mberges33
gabrielrufian
CarlesRuedaSagu
MCaupena
MJNneuroserveis
joanmarmont
Calixto75Anna
sandragabo
josemnieves
KRLS
KissAppSL
SaraTimes
apponeplus
TricillaMtrd
SerradeMiralles
Ivan_Troner
Lactiu
ofertitas
4Bel4
ARAsocietat
eliaalenya
ModernetdeMerda
blanuncis
Rakiatope
pilargargo
mirsgr
nsgins
evad3rs
pimskeks
Galobars
jordigoma
muyinteresante
limneos
AliciaTriguero
planetbeing
KimDotcom
yaniGGonzalez
stroughtonsmith
324cat
pod2g
xavigga
patrise88
annamcomas
GeohotJailbreak
LaraMorlan
LaiaStill
Cristorrente7
AlbertoPalen
jpedrerol
diariARA
oriolgd
lacompetencia
Hipertextual
chpwn
chronic
i0n1c
queconovell
LaVanguardiaCAT
sguilana
JulianLopez
epunset
nuskas
DaniMateoAgain
jmesteva
genbeta
xatakamovil
xatakaciencia
xatakafoto
xataka
applesfera
microsiervos
bego980
gemmapenya
ssrrll8
Buenafuente
iphone_dev
p0sixninja
FCBRAC1
jordievole
Yv_Colomer
clotyfish
ModMyTweets
iH8sn0w
chronicdevteam
MuscleNerd
i0nic
saurik
Berto_Romero
ensenyamentcat
Catala_Correcte
xavieraldekoa
TonyMontanaBCN
