caroltelechea
joanmargall
JnnDiaz
t_capdevila
robertfabregat
FreeRovira
xavibg88
adama_ong
lluisriera15
govRepublica
Enric_Castellvi
Oriolrami
davidmaya1999
joanabcat
cescriera22
Marionahoms
pepaixandri
serralurdes
QuimTorraiPla
janiraplanes
mar_sol_illa
EduardGatel
jserracarne
lourdesg2a
jcorbalan
JoanTard
insidelamina
SomRepublicans
Bernat_Deltell
txellsalip
JoanSoladeSardi
miquel_sola
RamonFontUSTEC
anna_caula
magdacas
SergiTarres
jmangues
gadorayrap
mujer_alterada
jsalvadorduch
xavieritja
mangelestrade
xavier_cat
mirellacges
RutRibas
transportpublic
CridaLlibertat
Atellepse
PepeAneas
zona_lila
FreeJunqueras
jcanadellb
gallifantes
BeatrizTalegon
tereroige
cescsanchez
Dharmamiriam
alcazar_salas
JoseRam49134466
deltahorn49
algar_montse
coralmanzanares
Alfaro_Giro
najat_driouech
ercdonesbcn
evabaror
CatEnComuSAB
wagensberg
marandreu25
catalan_gov
MicheliToraMar
GCasalsLeon
aleixsarri
BernatDedeu
JordiGraupera
josepcosta
ntouzon
CDR_SantAdria
nurtorfer1
acciopoliticaER
Mireiafrv
GeorgeKerevan
JohnDiop1
CATcaptain1o
PatriciaMelgar
Berlustinho
carlesjulbe
marcbarto
RogerVinton
ERCsmonjos
LluisNavarrete
LindeHCSpain
AESEG_genericos
Mr_Pribas
anefp_org
Joan_Gatell
Aitorlaiseka
MariaTelloSAB
VendrellFisas
dlinares32
Promland_cat
lopezbofill
DiariJornada
arxiusantadria
iescolar
ealessandria
GerardPujadas
ReferendumSAB
sam08921
ERC_vallesocc
pharmatipsblog
Gemmagege
Javi__Torres
sant_adria_teva
assjovessab
IEFEformacio
BCNRepublica
aquipuedo
_gomezcordoba
jcuixart
franhuixeta
SergiCAT2014
JoventMallorca
angelgilma
PDECATSantAdria
nuriabs88
chainvane
davidalcoia
alex_montornes
RETAILcatalunya
Toniboucastella
joanramirez71
mati_duque
ERC_Memoria
sapoconcho
Iboj1
viscat2
agnesrotger
farmaciabarbera
monicapalacin29
andreubarnils
_javiergp
jaumeatonda
DavidOliverSnch
XavierCasasUGT
leconomic
Funcionari_muni
amargant_olga
estelada
somubsa
esquerrasantboi
josepramonmut
BCN_Mola
joan90plana
LlucCahis
TarresMarc
montsebenedi
KasperJuul_0
dasope76
AECAT_cat
FerranColl
ercvall
IracundoIsidoro
delgovbarcelona
Nuria_Griso
aaltafaj
ramirp
bertifas
Alberu3
AViudezSAB
jordigaseni
IndepCast
MartaMembrivesB
JoaquimPerramon
CaNavarra
apuente
Well086
FraJeremies
sal_lari
RogerHeredia83
jordimaresma
erc_amb
JaeJaume
porabajo
