JustinBasilico
laurabpruitt
aishfenton
moustaki
FORSBERGtwo
oppih28
BrandonMChu
alpashah
ZhouVbigyi
itselijahtai
unameit8626348
ulasbar
mattzeiler
uubyy
flied16
craigmillr
dorajambor
gwintrob
pmangg
WilliamMacIvor
asjonish
danielcrystal_
bifrach
alokgupta83
harleyf
jeremyukim
vincentchio
helenmou
_rchang
math_rachel
fredwilson
JeffDean
hellobragi
demishassabis
mustafasuleymn
tobi
dawnlight627
gavinouyang
dlennie
StrongDuality
ericschmidt
kswersk
paulg
Doriscafe
janexwang
lijiali_vision
DonkwHan
PromiseNXu
_WhO_AmI_
Angel_yifan
ChenChe49864551
ZXinbo
goodfellow_ian
_MeghanHan
parhamaarabi
bchesky
sama
MarkChignell
annieluo_
Alice834
mrogati
hackingdata
steveirvine
hmason
HumeKathryn
drfeifei
NalKalchbrenner
JordanJacobs10
sundarpichai
antgoldbloom
benhamner
maxlvhao
BarackObama
Eastenluis
RichardSocher
ylecun
gdb
AlanWunsche
wangjienan_tom
wandawg11
louisyiwenluo
june_li
robot_MD
AndrewYNg
onlyswan
CathyTie
cxiaoji
philipla
peterthiel
RioJot
stevecmeyer
mssharonra
DanGrover
claychristensen
elonmusk
researchuoft
kaifulee
