CarlesMundo
QuimTorraiPla
primaries2019
PujolBonell
DretsCat
quimforn
jordialapreso
CDRCatOficial
carlesral
JaumeAlonsoCuev
jcuixart
ANONSPAIN2
ramoncotarelo
BeatrizTalegon
anoncatalonia
jordifcb24
sninobecerra
Cdrfcb
meteocat
antoniobanos_
Anonymous_opt
NachoSanahuja
TianRiba
PereMas
catalan_gov
CDRHG7
ForcadellCarme
jorditurull
AlbanoDante76
govern
QuicoSalles
AnnaGaSabate
CUPBarcelona
toni_comin
Kuestmaster
mossos
antonibassas
soler_toni
miquelcalcada
philmusical
MonDiari
naciodigital
VilaWeb
324cat
openarms_fund
JordiGraupera
gabrielrufian
Madonna
davidbroc
jordibaste
elmonarac1
KRLS
AlfredBosch
barnasecreta
AmorosJaume
Esquerra_ERC
Toni_Cruanyes
raulromeva
canboneta
XSalaimartin
XSalaimartin
MarcBatet
cupnacional
junqueras
HiginiaRoig
springsteen
jebelude
sorluciacaram
CakeBossBuddy
XAVIGO_go
danielafaclot
franvcisco
PequeFurby
anais_90_
jordievole
3gerardpique
AthleticClub
ninadark1
ChusPucca
FCBarcelona_cat
babilon25
