AlDiaCat
Houseof_CAT
_ju1_
JosepBargallo
QuimTorraiPla
catamcouncil
sindicdegreuges
josepalay
carlesral
Well086
AdicsEnLluita
jpurias
Republicans2_0
LlunaCatalana3
ComptadorRep
sergipinkman
elputuamu
AncBru
ACDretsCivils
JaumeAlonsoCuev
TxellBonet
rogertorrent
lopezbofill
CanalRepublica
CAT_memoria
estelada
consumRepublica
ANC_Mossos
unisxrepublica
Piulador_K_TALA
pol_mingo
elsa_artadi
LlunaCatalana2
MeritxellSerret
jordialapreso
oetxearte
marcelmauri
JuntsXCat
mlasalas
xaviermartinezg
eduardvoltas
mksjosoccdr
albertdmcat
Berlustinho
jordiborras
AlexHinojo
DretsCat
CDRCatOficial
catalan_gov
AngladaMarti
8aldia
xavicoral
CartesxRep
blogsocietat
BeatrizTalegon
XavierAntich
albaverges
PabloMM
AnnaGaSabate
aaltafaj
ServidorsCat
jordiangusto
ADLGarrotxa
jordibarbeta
albertbotran
agenciaacn
CollectiuPraga
Anonymous_opt
vpartal
patricialopezl
enpeudepau
JoanQueralt
Ferrancm
AgustiAlcoberro
empaperem
JesusCintora
ErnestoEkaizer
PortuariosCNT
jesusmarana
iescolar
antonlosada
QuicoSalles
pardodevera
AITOR_ESTEBAN
joseantich
jordibaste
FAQSTV3
ramontremosa
Mes_324
jmterricabras
SusodeToro1
antonibassas
lluis_llach
jcuixart
jordisanchezp
Cat_Lliures
epaluzie
sumate_asoc
AMI__cat
rac1
CatalunyaRadio
CridaDemocracia
antoniobanos_
maticatradio
elmonarac1
elnacionalcat
VilaWeb
324cat
mossos
ForcadellCarme
raulromeva
GeekIndignado
gabrielrufian
jaumeclotet
ramoncotarelo
gerardotc
fmarcalvaro
JordiGraupera
CDmon
KRLS
estherbrescom
Masombravella
TonaCultura
greenpeace_esp
pepsantapau
AdaColau
perearagones
CUPOlot
HiginiaRoig
martarovira
soler_toni
cupnacional
324_politica
ERC_economia
f_lluisllach
RaholaOficial
parlamentcat
Col_Wilson
JoventInter
tonialba
jcanadellb
alb_macviv
junqueras
JoanTarda
omnium
nicockier
anna_arque
AlexGutierrezM
TribunadeGirona
AlfredBosch
viesverdesgi
XSalaimartin
assemblea
supercatalunya
NOVAEi
culturactius
rauxacatalana
bibiloni
FrasesFetes
Assemblea_AiSMC
David_Hall
Esquerra_ERC
valencianna
racocatala
martiteres
sninobecerra
miquelcalcada
ARAxarxestech
DonaLaCara
_Catalunya
naciodigital
gendigital
F_Casadella
albertcuesta
LlenguaPolitica
puntcat
jaumemarin
KonzepteS
llenguacat
GenteEcommerce
ejecutivos_es
ARAsocietat
antonicapilla
Apuntserveis
DiarideGirona
SMSMalaga
sijcat
Munukumperez
expansioncom
CCatalaNegocis
xaviermingo
patrimonigencat
ElGerio
elpunt
gencat
diariARA
Twitpuntcat
montsepenarroya
