Gavier_Angel
nachog
catsiqueespot
michieltcs
spriebsch
afilina
CodelyTV
pico8console
niluspc
arribaM80
RealUlaboxEng
estermaja
adriacespedes92
ruthlesstwitts
8BitPorn
symfony_es
toni_monteagudo
climagic
HipHopVM
JobFluent
official_php
betabeersBCN
_md
RufinoYegros
AdaColau
TeatreNaia
perezreverte
vtalksnet
Espectaculo_BCN
crisismasiva
xavicorral
octante
repejota
UlaboxEng
saratrial
aina_lluna
developerbcn
CecilNobs
rafaltwitts
symfony
symfonycon
its_my_place
AtrapaloEng
javipolo
WeLovePHP
Catalunyacelta
magi2c
felixcarpena
gorkaio
sergivives
rvilars
proxima_sesion
JobFluent_old
ltallada
zeca_foz
xan_pm
ukefesta
symfony_bcn
googlecodejam
smoyac
Estherconhache
googledevs
php_net
planetphp
thePHPcc
zend
newrelic
greg_robbins
agilebcn
spolsky
martinfowler
oraventos
eliedecoignac
timbika
mermeladasmadre
patalgar
toneta
jordiAS2K
timtowle
phpbarcelona
fabpot
LPiKeRaS
celiacuadros
albertofs
jsalvata
taniapaz
xavivt
htmlboy
pelluz
BCNCulturaCAT
googleio
xoseperez
VallePicos
terryandrob
_dcampoy
martinezmire
salatx
softeng_es
amparosimon
carles_miralles
partit_pirata
josgilmo
tr3sc
Carcolo_Bcn
ccolell
choan
Maria__Sagrera
pomaquet
JuanmaOrta
mozappsdev
krisol3
sdepablos
s_bergmann
danielgimenez
jargila
TechCrunch
Google
