BornFreeFDN
psychicsisters
GSElevator
GlennEaze1000
women2
CoderDojoD15
CoderDojoEnnis
CoderDojoIndy
learningcode
codeorg
GirlsinTech
girldevelopit
womenintech
GirlsWhoCode
WomenWhoCode
haeminsunim
marieforleo
VirginStartUp
SkyNews
guardian
BBCNews
fielddotwork
TEDTalks
EarlyAdopters_
ProductHunt
richardbranson
BarLifeUK
PopSci
TechRepublic
engadget
ZDNet
Google
Gizmodo
WIRED
TechCrunch
ForbesTech
HuffPostTech
TCFltd
1totaltwit
Kinetik
mashable
iGenApps
Greenpeace
WWF
BBCBreaking
iPhoneTeam
SunilA2Z
CraigRinSD
