laclarapiula
GolpistaArtista
gcroures
EstherCuixart
TxellBonet
inafinogenova
garciagarciaix
BelOlid
natzafarre
HelleKettner
QuimTorraiPla
KMSxlaLLIBERTAT
LaRepCat
CDR_Valencia
CDR_SVQ
Gemmajhb
lliure07
JaumeAlonsoCuev
wagensberg
_ramallets
Gambinados
assemblea_int
elnacionalcatEN
Elvellblues
MnicaRebullCome
paquifer1969
gordacivil
_ju1_
NousRepublicans
NPulovski
__CarmenLopez
alertatrollcat
ComptadorRep
PolGiseVine
JoanPescador
FreeCuixart
Piulador_K_TALA
duduipa
jcanadellb
alfons_godall
MandraInfinita
miriamnoguerasM
arnauriwz
JORDINADOR
MartaDui
jmangues
xavier_torrens
SocialMaresme
Cazatalentos
NoeMartri
protestona1
elpetitcatala
Berlustinho
elsa_artadi
elprotestofono
SusodeToro1
CarlesMundo
quimforn
joseprull
JuntsXCat
jordialapreso
jcuixart
OmplimBrux
CartesxRep
CartelesxRep
Birresrepublica
cddrcat
MNAnoticies
elgatnegre007
ANC_Bombers
espiarussa
gallifantes
sergipinkman
CanalRepublica
BabelRepubliCat
PopapCatradio
xavirocamora
RockstarSupport
AnnaAgustiValls
raonsrepublica
Irene_Montero_
BeatrizTalegon
TianRiba
DavidSegador
JuDiTiQuiNTi
Kernanheinz
MariadelosDlrs
catalan_gov
CDRCatOficial
ramoncotarelo
vpartal
ramirp
elnacionalcat
salvadorcardus
Rincewindcat
jorditurull
albertbotran
pilarcarracelas
yeyaboya
QuicoSalles
eldoctorjaus
LekaconK
toni_comin
Anonymous_opt
josepcosta
La_Retaguardia
jaumovic
pnique
AmadeuBrugues
enpeudepau
Vito51814407
AstridHirsch
julidejdarmuoz
orioldebalanzo
unisxrepublica
PortuariosCNT
laquintacolumna
SofiaesCAT
vmm7773
nuriadgc
RepressionAtCAT
ref1oct
IvanLQF
SilviabelB
antoniobanos_
jordiborras
mksjosoccdr
CastelldAro
patricialopezl
AlbanoDante76
meteocat
transit
friends_spanje
yokoono
ProdueixFeeling
TwitterVideo
platjaropolicia
Cristiano
neusmunte
LaTagliatella
mireiaportas
