Xuxipc
JosepSeguiA
albert_dm
BelOlid
cap0
luisma_lopez
albaverges
somlaincorrecta
EstherCuixart
HalldorMar
KatalonskiTV3
bertifas
encampanya
AmadeuBrugues
TxellBonet
DjRepubliCAT
govRepublica
antoniobanos_
MeritxellSerret
JaumeAlonsoCuev
toni_comin
yeyaboya
AnnaGaSabate
tableroglobal
ClaraPonsati
carlesral
patricialopezl
QuimTorraiPla
maiolroger
patriciaplaja
noamchomskyT
DretsCat
racocatala
ernestclotet
querellantsXrep
SobiProgresCat
sijcat
llenguacat
inhcat
FundacioCCC
CAL_llengua
ComiteLlibertat
elciemen
AdicsEnLluita
frac1
CanalRepublica
newseros
AstroxRepublica
vinsrepublica
324cat
naciodigital
CafesxRepublica
Birresrepublica
cddrcat
dolorsbassac
CarlesMundo
joseprull
JuntsXCat
catalan_gov
anoncatalonia
Republicans2_0
ServidorsCat
protestona1
GobernoAlem
jordialapreso
ANC_Bombers
despertemrep
duduipa
joanpuig
alertatrollcat
X4VIE
elpetitcatala
xavier_torrens
AlbanoDante76
ElCojoCensurado
Houseof_CAT
CatalansForYes
CartesxRep
josepuntcat
escudellat
Laurarenas66
MartaDui
salvadorcardus
lopezbofill
Piulador_K_TALA
Pous
alfons_godall
JORDINADOR
albertdmcat
elputuamu
arnauriwz
joanqueralto
jmangues
jm_clavero
sergipinkman
MNAnoticies
CNICatalunya
gallifantes
BeatrizTalegon
NousRepublicans
raonsrepublica
CDRCatOficial
enpeudepau
PabloCHLorenzo
jonathanmartinz
elbages
Xaviercarmaniu
leotaxil
MarqMarti
WarrenWhitlock
Diplocat
DMarzal
PortuariosCNT
LaCalders
novulltwiter
RepressionAtCAT
ref1oct
HoFasPossible
joelcomm
jordiburg
JulianAssange
wikileaks
ahoraluzycolor
n0ms_
nuriagau
damiavr69
FrankUnderwocd
llimoo
Andres_Boix
tuitadyneLPD
ManuelBartual
crakovia1
MistralS
Well086
012
equipviari
agentsruralscat
112
transit
bomberscat
miriamhatibi
emergenciescat
mossos
Berlustinho
seguirPDeCATBCN
PuigFigueras
PDeCATBCN
quimforn
AppSumo
rvilablareix
mallorcalliure
QuimSangra
CatorzeCat
aaltafaj
aleixsarri
collavella
Iposas
BarackObama
anapolo___
munichsports
rogermargarit
Rincewindcat
francescribera
govern
airbravo
Estornino_C
evacuinera
ferrer_jordi
MarcosGerbolesP
PClimaSA
bonplacat
TimeOutBCN
HBO_ES
velasc_alberto
rrubiot222
EscurcoNegre
homencat
AfecSuperillaP9
islandiarac1
alextorio
