MireiaSanuy
araiavui
gluup_eu
epaluzie
josepalay
Enric_Castellvi
Eliaek
MasipMontserrat
albertgg1964
llsalellasvilar
jmiguelmena
jordimas96
RPeroy
jtmaillo
collavella
fayula_mc
EnricMillo
Laura_cruzd
MireiaPujol
xavicurto55
RosamariVS
Capgros
ariadnaoltra
gemmadurany
carrizosacarlos
eajpnv
pernandobarrena
AltesaAmils
elisabeni
IsabelcastroG
aleixrenye
nuriacoe
ChakirelHomrani
MiquelBuch
cloudechka
CarlesMundo
Candeliano
CatalanCouncil
gerardgomezf
sergisabria
FAQSTV3
AamerAnwar
trabucs_Roures
MelciorComes
mirellacges
catamcouncil
BatistaGuillem
lopezobrador_
CoucouVic
joanmiro10
Maribelgg17G
CUProures
TamaraVila83
EnricJuliana
CatalanNation
casals_neus
quova8989
evagonzalezeva
TBertr
soler_toni
fem_historia
annam1181or
PerelloJames
lluisgibert
NataliaMangadoA
rbbotton
sgasull44
Augstein
CDRCatOficial
ramoncotarelo
AnonymousBCN
AlbanoDante76
Anonymous_opt
JuditKabal
onafm
CridaLlibertat
CdrLondon
BenEmmerson1
annabujcusso
QuimTorraiPla
jordialapreso
quimforn
Bernat_Deltell
LlunaCatalana3
carmencortesvid
Teixonera
iuAndres
alertatrollcat
garciagarciaix
NousRepublicans
Nuria_G_M
Lara74montse
rs_jordi
CDRLesCorts
desdelpoble
tionroquer
RicardUstrell
laura_rosel
eyndePenal
EsterRubio2
AlexFenoll
elsa_artadi
SilviabelB
lbot2854
gemmadeza
MEMCatalunya
Coordinadora25S
Alsapataca
rogertorrent
FraJeremies
glfulu
albaverges
hemicicle
MikelArreseigor
Jud1969
KjartanOmarsson
martaalos
ffeltrino
MasgoretPascual
somhirepublica
tbarnadas
isabelplanas1
PujolBonell
RepubliCATnet
CarmeCherranz
OsoIngeni
Erramun2014
JordiBS
Yo18285073
cuacat
starbucks_es
laiabalcells
XBescos
La_Rareta
JnnDiaz
ramirp
JordiUllan
AAixurach
joanqueralto
MeritxellSerret
Sandretata
Lluvia_Leo
CNICatalunya
mrovira
nycatalonia
SusanaCastell3
QuicoSalles
jordiborras
CUPBarcelona
antoniobanos_
AnnaGaSabate
carlesral
raonsrepublica
CABLENOTICIAS
Cristin03777734
jcanadellb
MariaMoralTeje1
CuestaMonica
albertdmcat
rosarufpena
CristinaGdrV
peronelladarago
BUFETEJOVER
catalan_gov
HelenTroy83
BeatrizTalegon
JaumeAlonsoCuev
Holaiquetal
neuslloveras
