BuzzFeedNews
wsdot_traffic
IFLScience
simpsonsfilms
UpshotNYT
LizDueweke
CommuteSeattle
dongho_chang
billbarnwell
voxdotcom
FiveThirtyEight
NateSilver538
planetmoney
SeaTransitBlog
sportspickle
PFTCommenter
Softykjr
minakimes
ObsoleteDogma
paulkrugman
emrata
Jezebel
TheStranger
mindykaling
RettigtoRumble
SoundersFC
seattledot
queenanneview
seattlepi
seattletimes
AfterBirth
kumailn
SeattlePD
1sharpwit
TheOnion
Deadspin
umeshunni
HuffPoSpoilers
HuffPostDC_Spol
dogofwindsor
ShitMyBoSays
Amazing_Maps
KenJennings
KaseyKeller18
lizandrade
thedylanwall
joelmchale
ASimilarKite
NormalTweetGuy
GWForum
amyheather
bod526
marquezcubed
schizm42
lindsay_bluth
ullasu
FrankYoshida
ticstah
Pizza_Society
jelopapopa
sethbirnbaum
SEAfoodies
fremontuniverse
NectarLounge
bridgetgarcia
annappley
UWBolt
ZodCarter
mattbaines
kintha
EasterbrookG
HughBMillen
Mitch_Seattle
