Davidferal
lampofo
clubsclaror
secprofgreen
TheRealDrZafar
uritort
tedclark
CreuRojaBCN
KLM_ES
elliotpannaman
BrandingBigData
GeekIndignado
Sharv_wani
syvylyze
BIdotcom
SanFranciscoVC
SarunasLegeckas
jabawack
IEctowers
GigaOEM
DataBeersBCN
JudViano
nigelhawtin
stefanoc
pauagullo
bcnanalytics
KirkDBorne
Data88Smart
RicLippincott
Respondon_es
haseeb
JohnWaldronMIW
Data88Geek
sidprobstein
BigDataGal
BigDataNetwork
BigDataBlogs
datameer
alteryx
1010data
OperaSolutions
MuSigmaInc
splunk
mapr
cloudera
hortonworks
nuodb
VoltDB
platfora
Sisense
tableau
plotlygraphs
PlaceILive
david_bonilla
besanson
data_nerd
kaggle
barcelonagse
Telefinnovation
HappyAnalytics
AnalyticsWeek
BigDataSpain
BD4S_1
DataScienceCtrl
analyticbridge
XHNews
rogerforcada
KernelAnalytics
NuviaFloresR
FEARP_USP
Fira_Barcelona
LaVanguardia
NestleSeleccion
Marc_Gili
324cat
ArtirKel
_BuscarEmpleo
frasesdetrading
AinhoaArriola
annaaalfes
Chinalati
Dirigentes
MariaNovoaG
inFocusDC
germangaguilar
ftcompanies
DidacDduck
esMONDRAGON
javierpeces
marcosleyley
dlacalle
vi_ca231
Insignificantiu
tulohasvotado
MiguelAng92
Albert_Llop
nciku
Godivaciones
trabajobcn
Gurulu_Chinese
MarioGtzMata
jmlopezzafra
Kahenia19
Rosadpgeo
JoseMaGarciaSua
JMGarilleti
A_Voltes10
chica__feliz
salainversiones
Cerodosbe
esbuse23
Farry_mfm
donalcantara93
lluc_12
meneame_net
mplanafarran
AIJEC
xaviconde
cuteviews
EnricDelcampo
aponsser
k0k0k0s
un_anciano
Cotizalia
mikeptree
Viulleida
ZHU_DE
josepsoler_ief
oriolamat
mircea_epure
eduardgrino
framibe
Guerraeterna
raulgg306
marcprats
XSalaimartin
estudinero
europapress
SUMAROS
ijariznavarreta
VanessaRdeGauna
PilarGGranja
mcantalapiedra
arsenioescolar
bensua
JavierCarril
Iranga92
RocioPBerbegal
rierco
HelenaOtero
marcflorensa
barcelonactiva
HackingChinese
sopena91
annarc92
RaquelDuerto
jjvelazs
TrabajoenChina
ClaraPrUb
BenitoArrunada
litos1992
JliaNadal
EnriqueAlcat
Rankia
JoseanSobrino89
lmartabe
jcacs92
dowikis
marcfelis
AxelFelis
Snooks816
gpuriplana
AnnaMasiip
aida_andsol
Pompeunomics
expansioncom
EstrategiasTv
IntercanvisUPF
Desalentado1
bbvaedufin
alumniUPF
AinaCases
NuriaCampsC
LazaroAlbas
rintereconomia
barrinto
MarArizaSentis
BolsaLibre
Paudomingom
elEconomistaes
hels93
