Pulitologu
TwitLluis
Jav_DelaFuente
Banus12976500
JonRopes
imjto
FBosch_0
Enbonbalea
FerranSardans
PausaSense
MiquelBuch
la_vozdela
JORDIIBANEZNI
xaviortega94
rblasi
martaroqueta
roicortada
MateuPujol1
soundsmarketapp
arnauvivesjuan
xaviermartinezg
Odalric1
josepibars
Xoriguer1
miquelvilatres
OnaAnahi
marcmontargull
sergiasensio95
beadezeidt
xarbos
ArtsMarcialsSER
caballolmolins
danicascales
mariarosa2016
Hug2Maria
SergioC85332085
pepvivesBIB
jmirap
Marklaparols
Vallsbiosca
JuliaGuillamon
scarNin1
Marcos1487A
free_catalan
karkandelavall
JuntsperMataro
carlesCat_BCN
txellfontanet
_hagaaaa_
MolonsAntoni
IllasEdgar
PdecatGracia
I_am_Fred01
CarlesdelPozo
AinaraRusu
maricelvitores
judit_cabana
Juseppp
pebansy1111
ANTIGUITATSNEUS
Nuria_G_M
Neko_blxck
droblopuntoes
IvanPulpon_1995
mchaconsalvador
catalana198319
frmat
HablanTodoEllos
xavidomenech99
akiraManhattan
PDeCATSCFarners
joangavalda
PepPuigRos
EduardBiosca
ercvall
ekapros
JordiLacorte
etorrescassana
JordiBalot
amirabal10
ppolizquierdo11
lucaquaglia66
PDeCATStAndreu
rogercaps
AnbertAlcocer
m_doncel
AgalloCat
JordiSalat
joseprull
compolcat
Gaieta1963
Andreumasd
Monikefriend
Marsal95
Toni27260642
NdiayeStephan
ObrimBCN
XeviAgullo
xaviboadavila
IvensCastillo
jllmerida
pepitogrillotu
AinaPalarea1
mariona_godia
Atom_Moviment
accio_cat
joan90plana
mariaarenillasp
smanzano321
D_Compromesos
Lleidacat1
davramey
albaigte
CNICatalunya
Mon_Nou4
ferrancab
BastidaBorrell
cabrafiga
eixorivit
renoinoi
cintiaandreu
PDCComarquesBCN
Hrhprincefazza1
PDeCATBDN
BSenespleda
TroKiZz
CrancRoquer
qbadiamasoni
txelllazaro
JuliaLlCa
Albert_DCat
on3miguel
TheAx333
castlans
josefinaCAT
CharlieFox1714
Zacur22
maneletc65
JosepLDomenech
JosepVives5
XgPujol
SonrisaLab
VadorClaraPons
mustrera
jordifer
cracksona9
xctxavi
mhalli01
Daura21
edgetolife
MorenetaSerra
LaGaldosiana
mempsis_
PolPrez
oscarguallar
MarcVidalMoreno
PereMabras1
freedom1O2017
CasellasCarlos
MarcGijon
Mserracamus
JosepMarcusCar1
esther_bonachi
Gebbonet
GuanyemLaRep
nomos46
CarlesMamano
kaique_2018
Montsllussa
lowmanslyrics
JordiOliverSola
JordiAndrsValls
XBescos
marcgasso1
MBiaPalma
NuriaRM1
JasDolcet
joaneliesadell
lluisgibert
jordicuminal
jaumec7
BCNapeudecarrer
madaeslava
estelada
menagadea
AnnabelMarcos
Mariavbordoy
arvaldivia
PDECATlaRapita
victorcostaor
AbigailMonells
Francina_Vila
BigGlobalWishes
SuperMami22
ManelSerrano5
agenersurrell
AnnaGuixa
emprenyatBCN
emilialandaluce
VullUnaResposta
Cat4Indepe
Gen_Llibertat
eva_vdlc
lluis_soler
tempesta_negra
TuroHome
FerranArtigas
